,Domain,Google_Count,Bing_Count,Total_Count
53,www.nangwizard.net,43,16,59
56,www.quickwhip.com.au,47,5,52
20,nangsdelivery.com,25,15,40
45,www.mrcream.com.au,30,9,39
10,kingwhip.com.au,22,16,38
17,nangs.net.au,6,32,38
11,mrnang.com.au,20,15,35
23,nangsqueen.com.au,24,11,35
25,nangstuff.com.au,18,16,34
7,creamchargerwarehouse.com.au,18,14,32
48,www.nangdeliverybrisbane.com.au,22,8,30
28,nitrouswhip.com.au,18,10,28
52,www.nangsperth.com.au,21,5,26
55,www.quicknangs.com.au,22,4,26
3,bestnangs.com.au,3,22,25
5,creamchargers.net.au,5,18,23
60,www.supremewhip.com.au,20,2,22
43,www.melbournenangsdelivery.com.au,14,8,22
26,nangsydney.com,14,8,22
19,nangsdelivery.com.au,10,10,20
44,www.miamimagic.com.au,18,1,19
46,www.mrnangs.com.au,12,7,19
24,nangstar.com.au,9,9,18
88,nangsta.com.au,0,17,17
33,startwhip.com.au,16,0,16
91,nitrousoxidecreamchargers.com.au,0,15,15
13,nangchef.com,2,10,12
14,nangcity.com.au,11,1,12
22,nangsman.com,8,4,12
70,elitegas.com,0,11,11
86,nangsdeliver.com.au,0,10,10
34,whipitgoodbrisbane.com.au,7,2,9
77,nangdelivery.com.au,0,8,8
35,www.benchargers.com,4,3,7
75,n2ocreamchargers.com.au,0,7,7
92,noscreamchargers.com.au,0,7,7
78,nangdelivery.net.au,0,7,7
37,www.creamify.com.au,4,2,6
38,www.creamshop.com.au,4,2,6
85,nangsboy.com.au,0,6,6
40,www.ezychargers.com.au,4,2,6
6,creamchargersydney.com.au,4,2,6
74,mrcreamchargers.com.au,0,6,6
15,nangdeliverysydney.com.au,2,4,6
1,allnightnangs.com.au,1,4,5
49,www.nangdeliverygoldcoast.com.au,4,1,5
31,perthnangs.com,2,3,5
76,nang-delivery.com.au,0,5,5
41,www.ezywhip.com.au,5,0,5
32,ssesgas.com,5,0,5
30,perthcreamchargers.com,4,1,5
29,perthchargers.com.au,4,1,5
87,nangsdelivery.au,0,5,5
62,nangmelbourne.com.au,0,5,5
47,www.nang-delivery.com.au,4,0,4
39,www.creamwhip.com.au,2,2,4
51,www.nangsdeliveryservice.com.au,2,2,4
54,www.partynangs.com,4,0,4
27,nangtank.com,2,2,4
18,nangsbrisbane.com,4,0,4
58,www.skywhip.com.au,4,0,4
59,www.supreme-whip.com,4,0,4
73,ignitenang.com,0,3,3
0,sydneynang24h.com.au,2,1,3
21,nangsdeliverygoldcoast.com.au,2,1,3
12,nang-a-roo.com.au,2,1,3
61,www.whipcosydney-order.com,3,0,3
84,nangryau.com,0,2,2
8,creamwizard.com.au,2,0,2
9,exoticwhip.com,2,0,2
16,nangme.com.au,2,0,2
65,cream-deluxe.com,0,2,2
83,nangrobot.com.au,0,2,2
82,nangme.net,0,2,2
95,starwhip.com,0,2,2
79,nangdeliverymelbourne.com.au,0,2,2
96,whipcreamchargers.com.au,0,2,2
50,www.nangdeliveryhobart.com.au,2,0,2
71,ezywhip.com.au,0,2,2
100,www.nangsbrisbane.com,0,2,2
103,www.perthnangs.au,0,2,2
66,creamcharger.net.au,0,2,2
2,aussiechargers.com,2,0,2
4,cake-emergency.com,1,0,1
97,www.canistro.com.au,0,1,1
98,www.crownwhip.com.au,0,1,1
94,speedwhip.com.au,0,1,1
99,www.goldwhip.com,0,1,1
101,www.nangsnearme.com.au,0,1,1
102,www.nangsters.com.au,0,1,1
93,powerwhip.com.au,0,1,1
64,aussiewhip.com.au,0,1,1
90,nitrousmafia.com,0,1,1
89,nangsvictoria.com.au,0,1,1
81,nangersandmash.com.au,0,1,1
80,nangdeliveryperth.com.au,0,1,1
36,www.creamcity.com.au,1,0,1
42,www.marzwhip.com,1,0,1
57,www.shopgalaxygas.com,1,0,1
72,fast-gas.com,0,1,1
63,nangsydney.au,0,1,1
69,creamymax.com.au,0,1,1
68,creamchargers.com.au,0,1,1
67,creamchargers.co.uk,0,1,1
104,www.supawhip.com.au,0,1,1
